Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,BBI_Wkts,BBI_Runs
MA Leask (SCOT),2022-2022,3.0,3.0,60.0,10.0,,67.0,4.0,16.75,6.7,15.0,,,15.0,
TL Chatara (ZIM),2022-2022,7.0,7.0,138.0,23.0,1,155.0,4.0,38.75,6.73,34.5,,,14.0,
PVD Chameera (SL),2022-2022,2.0,2.0,47.0,7.5,,54.0,4.0,13.5,6.89,11.75,,,15.0,
BTJ Wheal (SCOT),2022-2022,3.0,3.0,72.0,12.0,,83.0,4.0,20.75,6.91,18.0,,,,32.0
T Shamsi (SA),2022-2022,2.0,2.0,48.0,8.0,,56.0,4.0,14.0,7.0,12.0,,,20.0,
Mujeeb Ur Rahman (AFG),2022-2022,3.0,3.0,72.0,12.0,,88.0,4.0,22.0,7.33,18.0,,,24.0,
Junaid Siddique (UAE),2022-2022,3.0,3.0,72.0,12.0,,95.0,4.0,23.75,7.91,18.0,,,24.0,
MR Adair (IRE),2022-2022,7.0,7.0,144.0,24.0,,212.0,4.0,53.0,8.83,36.0,,,,39.0
Naveen-ul-Haq (AFG),2022-2022,1.0,1.0,24.0,4.0,,21.0,3.0,7.0,5.25,8.0,,,21.0,
Mustafizur Rahman (BAN),2022-2022,5.0,5.0,120.0,20.0,,112.0,3.0,37.33,5.6,40.0,,,15.0,
TJG Pringle (NED),2022-2022,6.0,6.0,102.0,17.0,,102.0,3.0,34.0,6.0,34.0,,,10.0,
GJ Maxwell (AUS),2022-2022,4.0,2.0,19.0,3.1,,19.0,3.0,6.33,6.0,6.33,,,14.0,
D Wiese (NAM),2022-2022,3.0,3.0,63.0,10.3,,65.0,3.0,21.66,6.19,21.0,,,16.0,
Naseem Shah (PAK),2022-2022,7.0,7.0,156.0,26.0,,162.0,3.0,54.0,6.23,52.0,,,11.0,
Fazalhaq Farooqi (AFG),2022-2022,3.0,3.0,69.0,11.3,1,75.0,3.0,25.0,6.52,23.0,,,,29.0
JN Frylinck (NAM),2022-2022,3.0,3.0,66.0,11.0,1,72.0,3.0,24.0,6.54,22.0,,,26.0,
JJ Smit (NAM),2022-2022,3.0,3.0,66.0,11.0,,79.0,3.0,26.33,7.18,22.0,,,24.0,
Basil Hameed (UAE),2022-2022,3.0,3.0,30.0,5.0,,37.0,3.0,12.33,7.4,10.0,,,17.0,
KA Maharaj (SA),2022-2022,4.0,4.0,72.0,12.0,,89.0,3.0,29.66,7.41,24.0,,,27.0,
Mohammad Nawaz (PAK),2022-2022,7.0,4.0,54.0,9.0,,67.0,3.0,22.33,7.44,18.0,,,,42.0
Pramod Madushan (SL),2022-2022,3.0,3.0,60.0,10.0,,75.0,3.0,25.0,7.5,20.0,,,,37.0
LV van Beek (NED),2022-2022,6.0,6.0,98.0,16.2,,125.0,3.0,41.66,7.65,32.66,,,17.0,
LS Livingstone (ENG),2022-2022,6.0,5.0,72.0,12.0,,96.0,3.0,32.0,8.0,24.0,,,17.0,
C Karunaratne (SL),2022-2022,7.0,6.0,108.0,18.0,,144.0,3.0,48.0,8.0,36.0,,,20.0,
PJ Cummins (AUS),2022-2022,4.0,4.0,96.0,16.0,,132.0,3.0,44.0,8.25,32.0,,,28.0,
MA Starc (AUS),2022-2022,3.0,3.0,72.0,12.0,1,102.0,3.0,34.0,8.5,24.0,,,,43.0
CAK Rajitha (SL),2022-2022,3.0,3.0,66.0,11.0,,94.0,3.0,31.33,8.54,22.0,,,23.0,
AR Patel (IND),2022-2022,5.0,5.0,80.0,13.2,,115.0,3.0,38.33,8.62,26.66,,,18.0,
Simi Singh (IRE),2022-2022,4.0,4.0,54.0,9.0,,78.0,3.0,26.0,8.66,18.0,,,,31.0
B Shikongo (NAM),2022-2022,3.0,3.0,30.0,5.0,1,48.0,3.0,16.0,9.6,10.0,,,22.0,
