Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
T Bavuma,5.0,5.0,1.0,70.0,36.0,17.5,62.0,112.9,0.0,0.0,0.0,6.0,2.0
J Charles,2.0,2.0,0.0,69.0,45.0,34.5,54.0,127.77,0.0,0.0,0.0,6.0,3.0
GJ Delany,7.0,5.0,1.0,69.0,24.0,17.25,54.0,127.77,0.0,0.0,0.0,7.0,1.0
Rahmanullah Gurbaz,3.0,3.0,0.0,68.0,30.0,22.66,50.0,136.0,0.0,0.0,0.0,4.0,5.0
Mohammad Nawaz,7.0,5.0,0.0,68.0,28.0,13.6,64.0,106.25,0.0,0.0,0.0,7.0,2.0
HT Tector,7.0,6.0,0.0,68.0,45.0,11.33,75.0,90.66,0.0,0.0,1.0,4.0,1.0
D Wiese,3.0,3.0,1.0,66.0,55.0,33.0,42.0,157.14,0.0,1.0,1.0,4.0,3.0
RD Berrington,3.0,3.0,0.0,66.0,37.0,22.0,56.0,117.85,0.0,0.0,0.0,3.0,2.0
M Shumba,7.0,7.0,1.0,65.0,18.0,10.83,82.0,79.26,0.0,0.0,0.0,5.0,0.0
Usman Ghani,3.0,3.0,0.0,59.0,30.0,19.66,64.0,92.18,0.0,0.0,0.0,5.0,1.0
Rashid Khan,3.0,3.0,1.0,57.0,48.0,28.5,32.0,178.12,0.0,0.0,1.0,4.0,4.0
MM Ali,6.0,5.0,2.0,57.0,24.0,19.0,46.0,123.91,0.0,0.0,0.0,6.0,1.0
Vikramjit Singh,5.0,5.0,0.0,57.0,39.0,11.4,62.0,91.93,0.0,0.0,1.0,5.0,2.0
HC Brook,6.0,5.0,0.0,56.0,20.0,11.2,58.0,96.55,0.0,0.0,0.0,2.0,1.0
DJ Malan,4.0,3.0,1.0,56.0,35.0,28.0,68.0,82.35,0.0,0.0,0.0,2.0,0.0
LM Jongwe,6.0,4.0,1.0,55.0,29.0,18.33,41.0,134.14,0.0,0.0,1.0,6.0,1.0
LS Livingstone,6.0,5.0,3.0,55.0,29.0,27.5,44.0,125.0,0.0,0.0,0.0,4.0,1.0
JDS Neesham,5.0,5.0,2.0,53.0,26.0,17.66,37.0,143.24,0.0,0.0,1.0,2.0,2.0
MG Erasmus,3.0,3.0,0.0,52.0,20.0,17.33,60.0,86.66,0.0,0.0,0.0,2.0,0.0
