Player,Overs,Mdns,Runs conceded,Wickets taken,Econ,Team,Innings in match,Opposition,Ground,Match Date,Scorecard
B Muzarabani,2.0,,13.0,2.0,6.5,Zimbabwe,1.0,v Bangladesh,Brisbane,2022-10-30,T20I # 1851
JO Holder,3.0,,14.0,2.0,4.66,West Indies,1.0,v Scotland,Hobart,2022-10-17,T20I # 1826
TL Chatara,4.0,1.0,14.0,2.0,3.5,Zimbabwe,1.0,v Scotland,Hobart,2022-10-21,T20I # 1838
GJ Maxwell,2.1,,14.0,2.0,6.46,Australia,2.0,v Ireland,Brisbane,2022-10-31,T20I # 1855
BFW de Leede,4.0,,14.0,2.0,3.5,Netherlands,1.0,v Zimbabwe,Adelaide,2022-11-02,T20I # 1859
Mohammed Shami,2.0,,14.0,2.0,7.0,India,2.0,v Zimbabwe,Melbourne,2022-11-06,T20I # 1873
MA Leask,4.0,,15.0,2.0,3.75,Scotland,2.0,v West Indies,Hobart,2022-10-17,T20I # 1826
M Theekshana,3.1,,15.0,2.0,4.73,Sri Lanka,2.0,v U.A.E.,Geelong,2022-10-18,T20I # 1832
Hasan Mahmud,4.0,1.0,15.0,2.0,3.75,Bangladesh,2.0,v Netherlands,Hobart,2022-10-24,T20I # 1843
Mustafizur Rahman,4.0,,15.0,2.0,3.75,Bangladesh,2.0,v Zimbabwe,Brisbane,2022-10-30,T20I # 1851
Mohammad Wasim,3.0,,15.0,2.0,5.0,Pakistan,1.0,v Netherlands,Perth,2022-10-30,T20I # 1852
D Wiese,4.0,,16.0,2.0,4.0,Namibia,2.0,v Sri Lanka,Geelong,2022-10-16,T20I # 1823
JH Davey,3.0,,16.0,2.0,5.33,Scotland,2.0,v Zimbabwe,Hobart,2022-10-21,T20I # 1838
JB Little,3.0,,16.0,2.0,5.33,Ireland,2.0,v England,Melbourne,2022-10-26,T20I # 1846
Shadab Khan,2.0,,16.0,2.0,8.0,Pakistan,2.0,v South Africa,Sydney,2022-11-03,T20I # 1861
